,货币供应量,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
0,Money Supply,,,,,,,,,,,,,,
1,,,,,,,,,,,单位：亿元人民币,,,,
2,,,,,,,,,,,Unit:100 Million Yuan,,,,
3,,,,,,,,,,,,,,,
4,项目 Item,,,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.1,2020.11,2020.12
5,,,,,,,,,,,,,,,
6, 货币和准货币（M2）,,,2023066.49,2030830.42,2080923.41,2093533.83,2100183.74,2134948.66,2125458.46,2136836.91,2164084.8,2149720.42,2172002.55,2186795.89
7, Money & Quasi-money,,,,,,,,,,,,,,
8,, 货币（M1）,,545531.79,552700.73,575050.29,570150.48,581111.06,604317.97,591192.64,601289.1,602312.12,609182.41,618632.17,625580.99
9,, Money,,,,,,,,,,,,,
10,,,流通中货币（M0）,93249.16,88187.05,83022.21,81485.21,79706.83,79459.41,79867.21,80042.71,82370.87,81036.43,81593.61,84314.53
11,,,Currency in Circulation,,,,,,,,,,,,
12,,,,,,,,,,,,,,,
13,    注：2018年1月，人民银行完善货币供应量中货币市场基金部分的统计方法，用非存款机构部门持有的货币市场基金取代货币市场基金存款（含存单）。完善后2017年各月末M2增速如下：,,,,,,,,,,,,,,
14,"        The PBC improved the method of data compiling in money supply statistics in January 2018. Specifically, as a result of improvement, the item of money market funds, which was treated as deposits of",,,,,,,,,,,,,,
15,"        money market funds(CD included), is now treated as the total of money market fund units held by the non-deposit taking financial institutions, household sector and non-financial companies. After",,,,,,,,,,,,,,
16,"        applying the new method, M2 growth rates in 2017 are updated correspondingly: ",,,,,,,,,,,,,,
17,,,,2017.01,2017.02,2017.03,2017.04,2017.05,2017.06,2017.07,2017.08,2017.09,2017.1,2017.11,2017.12
18,,,M2,0.107,0.10400000000000001,0.10099999999999999,0.098,0.091,0.091,0.08900000000000001,0.086,0.09,0.08900000000000001,0.091,0.081
